"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00196","cic00196","Photosynthesis - antenna proteins","11/566","17/4414",8.39511739492497e-07,9.15067796046821e-05,8.57185670850234e-05,"18054549/18055368/18052032/18053261/18053263/18045785/18048155/18044863/18043590/18041475/18038877",11
"cic04016","cic04016","MAPK signaling pathway - plant","34/566","118/4414",2.34808252738325e-06,0.000127970497742387,0.000119875792187461,"18054398/18054509/18055914/18052640/18051009/18048122/18046431/18049391/18048003/18048239/18043519/18044970/18040837/18041919/18042242/18040636/18039469/18039631/18038027/18038290/18037118/18037418/18034655/18034517/18033974/18033740/18034434/18034415/18031882/18033079/18033189/18031668/18035981/18031940",34
"cic00940","cic00940","Phenylpropanoid biosynthesis","45/566","188/4414",1.44563005475729e-05,0.000525245586561814,0.000492021457233181,"18054232/18055849/18054575/18055509/18054131/18051456/18052497/18052498/18052500/18052501/18052503/18052397/18048117/18046720/18046501/18048076/18050151/18046298/18046299/18045154/18043571/18044659/18041836/18038827/18040111/18038426/18039411/18039140/18037076/18036678/18036699/18037429/18035701/18037660/18037667/18037750/18035687/18034351/18035112/18033676/18031740/18050006/18048798/18042182/18032359",45
"cic04075","cic04075","Plant hormone signal transduction","50/566","237/4414",0.000170447566966768,0.00464469619984443,0.00435089841994118,"18054398/18054871/18054509/18055572/18055782/18055370/18054150/18054151/18054152/18054158/18052627/18052080/18053492/18052162/18048122/18049926/18049391/18048976/18046344/18046345/18049839/18047007/18047540/18045480/18043519/18045294/18040264/18040694/18042318/18042156/18039469/18039631/18039156/18038788/18037418/18036545/18036546/18037715/18035690/18034947/18033740/18034456/18033753/18033610/18034114/18033888/18033189/18031668/18035981/18034544",50
"cic04626","cic04626","Plant-pathogen interaction","44/566","209/4414",0.000441864171970455,0.00963263894895591,0.0090233315118177,"18054947/18054839/18056166/18054460/18055409/18052027/18053406/18046431/18046487/18048003/18048415/18048239/18043489/18044817/18043707/18040580/18040837/18041919/18042242/18041223/18041224/18040301/18038027/18038286/18039805/18038290/18039642/18037283/18036122/18036386/18033740/18034855/18035484/18034434/18034415/18031882/18032103/18032503/18032665/18031987/18033572/18050736/18052971/18038971",44
