ID,Symbol,log2FoldChange,padj
18053925,LOC18053925,2.12684394174476,3.1889948498505e-35
18056006,LOC18056006,1.03815650913366,6.24118379262283e-05
18056010,LOC18056010,2.32986607335898,0.000629651143623439
18056011,LOC18056011,1.71143488722109,0.00370436111282713
18053967,LOC18053967,-2.54069602085464,2.02590879851207e-18
18053975,LOC18053975,-1.56074483978694,9.13720577151573e-12
18053940,LOC18053940,1.133413982037,5.68753130025005e-05
18053943,LOC18053943,1.41982165024125,3.99875076292865e-07
18053944,LOC18053944,-1.18367763927652,2.98560970741593e-08
18053871,LOC18053871,-2.30233982377442,1.50479472898843e-07
18053872,LOC18053872,-2.20191591045939,5.34174673343589e-10
18053873,LOC18053873,-3.03832435474031,5.80849176822594e-27
18054104,LOC18054104,-5.42396559305976,0.0154510301967999
18054105,LOC18054105,1.88449559944477,0.000160666552595318
18054107,LOC18054107,-1.71757342095314,3.70469293005599e-11
18054111,LOC18054111,-1.08068090053963,7.29824489622888e-13
18054113,LOC18054113,-1.68312100963703,2.1429320109825e-19
18053948,LOC18053948,1.20277213443811,0.0101063464380813
18053949,LOC18053949,1.114859319068,2.83849284552226e-07
18053952,LOC18053952,-1.57917084267853,0.000117708867070518
18053955,LOC18053955,-2.45243418399026,2.42169318491737e-05
18053956,LOC18053956,-4.0888723930025,7.10807309189734e-05
18054225,LOC18054225,-1.37092729405744,3.20819131847773e-20
18054227,LOC18054227,1.24928075226655,3.15057026130211e-08
18054226,LOC18054226,1.15327541521707,3.48772279556195e-10
112095830,LOC112095830,3.51262639813456,0.0295742943952541
18054229,LOC18054229,3.43890325207574,2.19778820504162e-25
18054239,LOC18054239,-2.83347505907737,0.0140340549061427
18054242,LOC18054242,-2.21767530162269,6.49970203038464e-22
18054269,LOC18054269,2.27356398558943,6.41950866059165e-14
18054278,LOC18054278,2.32425254928391,0.023500000831348
18054274,LOC18054274,2.34936419148031,1.03787805394692e-05
18054283,LOC18054283,1.64932053572185,0.00632660830167816
18053739,LOC18053739,-7.46289844736044,3.45694551069659e-143
18053740,LOC18053740,-4.71268704730779,1.17942256099668e-29
18053750,LOC18053750,1.0708104683958,2.07908233416269e-09
18053755,LOC18053755,1.68421591965301,6.51069361458413e-10
18053788,LOC18053788,2.35335314497921,0.000257668893186425
18053789,LOC18053789,3.20856324624596,0.0063102871695844
18053791,LOC18053791,2.31873825869128,5.07058948316702e-06
18053793,LOC18053793,-4.03271565785658,7.51693888784028e-07
18053797,LOC18053797,1.12158976055613,0.0218871163066277
18053799,LOC18053799,2.45257850131497,4.86954824443615e-10
18053805,LOC18053805,-1.0127583050037,1.95357261925306e-09
18053985,LOC18053985,1.45465413613016,1.01509795811022e-08
112095849,LOC112095849,1.64537993672038,5.77915953552061e-05
18054465,LOC18054465,1.45881931417126,0.0189810347538228
18054471,LOC18054471,1.74560505349968,1.00575934466832e-14
18054473,LOC18054473,1.14807707450952,0.0311079962549751
18054479,LOC18054479,3.28632769586665,0.00169167134387419
18054200,LOC18054200,2.94594635606878,2.43691560900399e-47
18054202,LOC18054202,1.48462072150707,1.84151449671559e-08
18054201,LOC18054201,1.97025120421117,2.5606146018101e-52
18054666,LOC18054666,1.90285521551833,0.00461491923051063
18054667,LOC18054667,-5.44787826404053,4.69040379247889e-90
18054668,LOC18054668,1.1000326794824,0.000505651082264494
18054669,LOC18054669,-1.11024524828078,6.21390259852321e-14
18054676,LOC18054676,3.63252069549398,2.68196436720553e-14
18054678,LOC18054678,1.22773531231694,0.00133857194555623
18054777,LOC18054777,6.00822469544901,2.82049727661792e-06
18054780,LOC18054780,3.40108636176291,7.23968827856133e-14
18054781,LOC18054781,1.20256111136064,0.00406822903342023
18054797,LOC18054797,-2.10852480030177,9.02281200524187e-17
