ID,Symbol,log2FoldChange,padj
18053943,LOC18053943,1.25152264601902,0.0159055811480177
18054102,LOC18054102,-5.42519894646035,0.028520283497355
18054105,LOC18054105,1.19185872763108,0.00257467859475727
18053948,LOC18053948,-1.01422635400181,0.0024288163795469
18054227,LOC18054227,1.39752170596847,1.22481319383912e-07
112095835,LOC112095835,7.98854466806708,6.55432854219773e-08
18053793,LOC18053793,-3.55308941899969,1.25815462676346e-10
18053982,LOC18053982,-1.34110626168519,6.86338921253521e-10
18053985,LOC18053985,-1.03966560969848,0.0350146021312889
112095849,LOC112095849,3.79709186312516,7.76334353340234e-08
18054465,LOC18054465,1.5681812891011,0.0190683572772912
18054471,LOC18054471,1.45836250151126,1.89354746789275e-08
18054668,LOC18054668,1.22194457565279,0.000907375942683047
18054777,LOC18054777,7.58690737295129,6.15366168081323e-07
18054928,LOC18054928,-3.62844593783707,2.451709024464e-05
18054784,LOC18054784,-2.93072956602103,0.0284954228268683
18054790,LOC18054790,1.4961145423455,0.00563532826408336
18054941,LOC18054941,-1.20096109296537,1.59970613932916e-05
18054041,LOC18054041,3.27498536403269,7.80084576965431e-19
18054047,LOC18054047,1.09679668543881,0.00984578129544637
18055294,LOC18055294,-2.20156066140458,0.000689836317725411
18055300,LOC18055300,-1.90731664523586,0.00242563017553161
18055075,LOC18055075,2.08944253706728,0.000189940093838835
18055079,LOC18055079,-2.00420084041152,2.40421800219774e-06
18055074,LOC18055074,-1.10664060319991,0.000222308357529849
18055326,LOC18055326,-1.47953773158878,0.0101366075889399
18055333,LOC18055333,1.34408718732913,0.0015247097756924
18055045,LOC18055045,-1.1921025047775,0.015379165453923
18055050,LOC18055050,1.96599009616913,0.0379511572683302
18055034,LOC18055034,1.00337152837999,0.00197756654900987
18054861,LOC18054861,1.26465269975863,1.72053519442971e-07
18054866,LOC18054866,-2.38692430413791,7.03607592276761e-06
18054504,LOC18054504,2.2258561580682,0.00662444555147774
112095504,LOC112095504,6.10332587722457,9.17625460661986e-11
18055479,LOC18055479,2.4807866829154,0.048276153232113
18054847,LOC18054847,-1.00502071835726,1.4629727723707e-05
18054850,LOC18054850,-1.44436868856543,5.95988501208522e-22
18054854,LOC18054854,-2.50754111050774,3.15868318594929e-06
18055690,LOC18055690,3.05542292814159,2.19033954120889e-06
18054829,LOC18054829,-1.583835628075,0.00217468663684172
18054832,LOC18054832,-1.36044626248292,0.000409455366393099
18055652,LOC18055652,-2.86789568706641,2.56985219681045e-05
18055659,LOC18055659,-1.61757139797327,9.78455661700005e-11
18055776,LOC18055776,1.5461547751594,0.0402689085756289
112095462,LOC112095462,-1.32825350441945,0.00252793473593287
112095907,LOC112095907,9.91018414387049,2.93042321270256e-14
18055731,LOC18055731,1.28604104209476,0.0314807976255295
18056158,LOC18056158,-1.83100198382818,0.00516612281295052
18054495,LOC18054495,3.26245773048088,2.10730348645757e-11
112095794,LOC112095794,-2.02442320234295,2.68336469249571e-06
112101584,LOC112101584,4.9884038518519,1.00695309519909e-05
112095596,LOC112095596,-2.58553802802711,2.20191624745645e-18
18056057,LOC18056057,2.77124463874906,1.97589581718275e-22
18056128,LOC18056128,-1.18546813708816,4.19366409066151e-06
18056137,LOC18056137,-2.57955773804173,1.65393048570807e-05
18053694,LOC18053694,2.10251849415623,0.000597481130583315
112095666,LOC112095666,-3.74128062575959,0.0258907123269504
18053901,LOC18053901,-1.10083404793557,3.91471919952349e-09
18054003,LOC18054003,-1.98578448556776,0.0176032171298594
18054014,LOC18054014,1.63242114244754,0.00672451673136825
18054015,LOC18054015,5.01076445605301,0.0155681461166577
18054021,LOC18054021,1.49184345411025,0.00419098229824782
18054083,LOC18054083,1.17895621073858,0.00257337291911882
18053699,LOC18053699,-2.91676466189028,1.1287059880786e-05
18053707,LOC18053707,-1.45115312178726,0.0287674089200205
