ID,Symbol,log2FoldChange,padj
18056006,LOC18056006,-1.40096738589029,3.22581244553194e-06
112095796,LOC112095796,1.10929760380047,2.58356492814091e-16
18056011,LOC18056011,-4.28696836899185,8.85938499833748e-06
18056013,LOC18056013,1.71942712558481,0.000128615908262913
18053972,LOC18053972,-5.67899436478375,0.0165158963142136
18053943,LOC18053943,-1.35317040197586,0.00036233799595756
18054102,LOC18054102,4.50257842117354,0.0390602270040656
18054105,LOC18054105,-2.72388306556778,1.20619116444921e-15
18054107,LOC18054107,2.11144347894774,1.58778216092264e-07
18054110,LOC18054110,1.30043569959062,9.22883594713307e-06
18054111,LOC18054111,1.88068142617623,1.02951364577462e-21
18054113,LOC18054113,2.79521707747374,1.77917110362256e-11
18053947,LOC18053947,-1.96610305728247,0.0103113847468548
18053948,LOC18053948,-1.12215595055078,0.00211112173636374
18053952,LOC18053952,6.00978626266674,5.04568506685727e-08
112095827,LOC112095827,-6.62318315513297,3.3502388668518e-15
112095842,LOC112095842,-7.12969993756524,0.000218507853162507
112095830,LOC112095830,-5.10746015932325,0.0495831791826339
18054239,LOC18054239,-1.41640471364602,0.0293437673186673
18054233,LOC18054233,-2.33839616174056,1.10307656588092e-19
18054238,LOC18054238,1.11174109082905,9.25066656766897e-12
18054278,LOC18054278,3.06014955016524,7.03193092418225e-06
112096004,LOC112096004,-6.37621263946253,0.00111978306426757
18054283,LOC18054283,-2.64155480765983,5.29382267621835e-18
18053736,LOC18053736,1.19009696860956,0.00126829060202086
18053739,LOC18053739,6.63459855798669,1.57819154867093e-06
18053740,LOC18053740,6.07173528054165,2.60233087916846e-50
18053749,LOC18053749,-1.2435951924566,0.00173752632252837
18053793,LOC18053793,5.2577746175988,7.76352666369181e-06
18053792,LOC18053792,1.58566631922023,1.63742781714848e-05
18053797,LOC18053797,2.15662572795339,0.00215226827890921
18053799,LOC18053799,2.53856171645261,1.48213572512014e-14
18053804,LOC18053804,-1.37914123167451,9.25223621672835e-08
18053806,LOC18053806,2.17382863503358,7.19071008896723e-06
18053981,LOC18053981,4.65166163583808,2.4994425080342e-17
18053985,LOC18053985,-2.84360803829514,5.70434916240957e-35
18053989,LOC18053989,1.90086129011837,1.33546222857286e-24
18053991,LOC18053991,-2.21945566595006,0.000116934365341548
18054479,LOC18054479,-3.39946141431809,3.39952443662358e-22
18054197,LOC18054197,-1.66465738051008,7.10516917198159e-12
18054200,LOC18054200,4.58800854419098,1.62938502380574e-30
18054199,LOC18054199,1.22158909713417,3.41452895838393e-16
18054201,LOC18054201,-1.33906626272891,1.22859797572921e-07
18054667,LOC18054667,3.11820893021527,5.5442073516293e-06
18054672,LOC18054672,1.38569450998105,8.36454530130213e-30
18054674,LOC18054674,1.16842230707545,2.48007804195341e-18
18054676,LOC18054676,-2.85947804390165,4.00551521572613e-11
112095791,LOC112095791,-1.0252707394978,6.27525046107855e-10
18054678,LOC18054678,-1.49562084856968,2.88529390522722e-06
18054779,LOC18054779,-1.60780735934052,2.69781829652476e-13
18054780,LOC18054780,-1.28746144637006,0.000166283635811477
18054927,LOC18054927,1.2838005701751,0.00467294446562392
18054928,LOC18054928,3.60576968181339,8.07024225983975e-09
18054789,LOC18054789,-1.88800457947426,2.25255118025102e-22
18054790,LOC18054790,-1.22387307321914,4.88961322709827e-05
18054041,LOC18054041,-2.22341683908352,0.00175336343496375
18054044,LOC18054044,-3.03229820612039,0.00297703110181778
18054046,LOC18054046,-5.4973656371283,3.4080024728779e-43
18054047,LOC18054047,-2.36557841339992,7.10482423257455e-09
18054050,LOC18054050,-3.88802371808426,2.82656701992529e-32
18054054,LOC18054054,-4.85770250078003,1.40038128667671e-70
18054061,LOC18054061,1.12197675810367,2.43001626367326e-08
18055287,LOC18055287,4.24128675122991,5.38103576397616e-05
18055294,LOC18055294,3.36993403026071,8.72435875816912e-08
18055293,LOC18055293,1.18239473206201,1.34004712158271e-07
18055300,LOC18055300,2.58121315473558,2.80563169733923e-11
18055063,LOC18055063,-1.33888264177183,2.82386568233713e-06
18055071,LOC18055071,-2.62124121104853,1.14739241865955e-09
18055072,LOC18055072,-2.35715110403517,6.40775452671118e-12
18055079,LOC18055079,3.11161393893529,3.06873357727622e-14
18055074,LOC18055074,1.41416049130747,1.92748985150505e-14
18054524,LOC18054524,1.04769489291295,7.75679382451398e-15
18054531,LOC18054531,-3.05772698600798,3.75688655034713e-27
18054900,LOC18054900,1.49419187207405,6.4001554807493e-13
18054901,LOC18054901,2.16090831669703,5.61319712511982e-08
18055333,LOC18055333,-2.25249628112386,2.2278135788471e-06
18055339,LOC18055339,-3.6388157004203,0.000127994301671071
18055342,LOC18055342,2.83258737407478,1.96761912921495e-06
18055009,LOC18055009,-3.80850979105457,0.0369202397097745
18055015,LOC18055015,-1.59167042000409,2.99480988982005e-18
18055017,LOC18055017,1.31668859066017,1.31001232684811e-10
18055022,LOC18055022,2.16574626952729,0.00153471124496903
18055045,LOC18055045,-3.44326036528859,4.08566376739132e-06
18055050,LOC18055050,-3.17793177634645,0.00818832247571619
18055047,LOC18055047,-2.05447371113221,6.723032060109e-15
18055054,LOC18055054,-1.14687683196036,9.95880203025717e-11
18055056,LOC18055056,1.03632919244533,1.60900953247737e-13
18055059,LOC18055059,-1.33785162129583,0.00128240917259416
18055035,LOC18055035,1.64396596321131,0.00072522967315032
112095855,LOC112095855,2.19697049542288,8.86805795640639e-22
18055025,LOC18055025,1.18181583704206,0.000295416428259276
112101573,LOC112101573,-1.1644122585873,0.0120192350977362
18055104,LOC18055104,1.32460827266236,7.77484383955742e-05
18055041,LOC18055041,-1.33163677175035,2.90825338293278e-13
18054382,LOC18054382,-1.59598893550246,2.00833310232032e-08
18054391,LOC18054391,1.30866069463682,0.00517878189952583
18054397,LOC18054397,-1.31398699882648,0.023897687525505
18054398,LOC18054398,-4.24747601675762,2.29382141623008e-06
18054396,LOC18054396,-1.71947325658302,1.00253010512547e-06
18054862,LOC18054862,1.51501057307762,2.09959039760422e-09
18054865,LOC18054865,2.93083858475206,2.14317154472542e-31
18054866,LOC18054866,3.23483576901001,1.51382017620949e-21
18054867,LOC18054867,3.04468635032758,2.71243346783436e-13
18054871,LOC18054871,1.65126164518453,1.29638405855567e-11
18055386,LOC18055386,-2.82207634034069,0.000518766353636302
18055392,LOC18055392,6.04295991921211,1.17021807719321e-12
18054504,LOC18054504,-3.98968273282006,0.000249366291374402
18055472,LOC18055472,1.0348607247613,1.82800333982285e-10
18055473,LOC18055473,1.46702951046971,4.82383510803307e-15
18055474,LOC18055474,1.01919404847865,1.49168940598897e-05
18055475,LOC18055475,1.48253212190302,1.69489222383579e-17
112095435,LOC112095435,-3.09707045828162,0.00182615428850747
112095436,LOC112095436,2.58659194533938,6.61613206857947e-05
18055481,LOC18055481,-2.55218857507976,8.45392790663488e-48
18055487,LOC18055487,-1.57943637850751,2.6779273634052e-08
18054848,LOC18054848,-1.27491795146935,7.42767773022442e-08
18054853,LOC18054853,1.56608945712368,4.4799449897899e-09
18054854,LOC18054854,-1.60417872842743,1.9930122703942e-06
18054856,LOC18054856,-1.71720354296785,1.85719591093406e-09
18054858,LOC18054858,1.25870876563739,0.0220955546142306
18054514,LOC18054514,-1.05439119395968,1.09718407297761e-05
18054516,LOC18054516,-2.29542257932361,0.000858796957253911
18055161,LOC18055161,-1.10793142100649,2.23904457181777e-09
18055681,LOC18055681,6.03852225606514,1.40588152968932e-10
18055687,LOC18055687,-2.57482266504833,0.00108657874562942
18055690,LOC18055690,-2.80877814935898,0.0231059893557319
18055695,LOC18055695,-9.28108831119003,1.02107869873293e-11
18055696,LOC18055696,-6.47295243267859,0.000600223550946327
18055698,LOC18055698,1.25405708640041,6.48395885572232e-11
18054824,LOC18054824,2.22919800320838,2.8621554151584e-12
18054833,LOC18054833,-1.02933243317696,0.0468799115404883
18054829,LOC18054829,-3.04133942992968,4.01817168501443e-06
18054831,LOC18054831,1.34989344351016,1.09067511013329e-16
18054832,LOC18054832,1.18757630966792,1.58840952927882e-13
18054839,LOC18054839,2.40007315089711,9.00022118340425e-08
18055572,LOC18055572,-1.36905012126615,1.54026252171422e-07
18055578,LOC18055578,-2.95605094251468,4.16822657017049e-21
18055584,LOC18055584,-2.68034595569371,1.75169263083881e-21
18055647,LOC18055647,-2.03022281201805,4.92456963520184e-43
18055652,LOC18055652,4.19400152276843,5.31028388355008e-18
18055651,LOC18055651,1.78238581027244,2.59020671140216e-22
18055655,LOC18055655,2.43565907017429,4.44776354557641e-09
