"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055035","CC","GO:0055035","plastid thylakoid membrane","38/1590","82/7428",3.75435159115395e-07,7.60256197208675e-06,6.32311846931192e-06,"LOC18055287/LOC18054549/LOC18055495/LOC18055368/LOC18052506/LOC18051968/LOC18052032/LOC18052694/LOC18053489/LOC18052598/LOC18053436/LOC18053261/LOC18053263/LOC18046386/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18046011/LOC18049269/LOC18045866/LOC18046879/LOC18046891/LOC18043413/LOC18044075/LOC18044863/LOC18043581/LOC18043590/LOC18041475/LOC18041631/LOC18042830/LOC18041202/LOC18043060/LOC18038877/LOC18037749/LOC18035158/LOC18034550/LOC18031419",38
"GO:0009534","CC","GO:0009534","chloroplast thylakoid","41/1590","94/7428",9.79216038325372e-07,1.5863299820871e-05,1.31936476742787e-05,"LOC18055287/LOC18054549/LOC18055495/LOC18055368/LOC18052506/LOC18051598/LOC18051968/LOC18052032/LOC18052694/LOC18053489/LOC18051468/LOC18052598/LOC18051870/LOC18053436/LOC18053261/LOC18053263/LOC18046386/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18046011/LOC18049269/LOC18045866/LOC18046879/LOC18046891/LOC18043413/LOC18044075/LOC18044863/LOC18043581/LOC18043590/LOC18041475/LOC18041631/LOC18042830/LOC18041202/LOC18043060/LOC18038877/LOC18037749/LOC18035158/LOC18034550/LOC18031419",41
"GO:0031976","CC","GO:0031976","plastid thylakoid","41/1590","94/7428",9.79216038325372e-07,1.5863299820871e-05,1.31936476742787e-05,"LOC18055287/LOC18054549/LOC18055495/LOC18055368/LOC18052506/LOC18051598/LOC18051968/LOC18052032/LOC18052694/LOC18053489/LOC18051468/LOC18052598/LOC18051870/LOC18053436/LOC18053261/LOC18053263/LOC18046386/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18046011/LOC18049269/LOC18045866/LOC18046879/LOC18046891/LOC18043413/LOC18044075/LOC18044863/LOC18043581/LOC18043590/LOC18041475/LOC18041631/LOC18042830/LOC18041202/LOC18043060/LOC18038877/LOC18037749/LOC18035158/LOC18034550/LOC18031419",41
"GO:0031984","CC","GO:0031984","organelle subcompartment","51/1590","155/7428",0.000529750483080674,0.00780177984173357,0.00648880974491161,"LOC18055287/LOC18054549/LOC18055495/LOC18055368/LOC18052506/LOC18051598/LOC18050563/LOC18051968/LOC18052032/LOC18052694/LOC18053489/LOC18051468/LOC18052598/LOC18051870/LOC18053519/LOC18053436/LOC18053261/LOC18053263/LOC18046386/LOC18050194/LOC18045777/LOC18045785/LOC18046168/LOC18048155/LOC18046011/LOC18049269/LOC18045866/LOC18046879/LOC18049904/LOC18046891/LOC18043413/LOC18044075/LOC18044863/LOC18044847/LOC18043581/LOC18044021/LOC18043590/LOC18041475/LOC18041631/LOC18040585/LOC18042830/LOC18041202/LOC18043060/LOC18038877/LOC18038768/LOC18039622/LOC18037579/LOC18037749/LOC18035158/LOC18034550/LOC18031419",51
"GO:1990204","CC","GO:1990204","oxidoreductase complex","17/1590","37/7428",0.000731199623737323,0.00987119492045386,0.00820996068757696,"LOC18054604/LOC18050981/LOC18051803/LOC18050389/LOC18046168/LOC18046547/LOC18043881/LOC18045518/LOC18045520/LOC18044642/LOC18044399/LOC18045619/LOC18040285/LOC18041099/LOC18042622/LOC18037469/LOC18031349",17
"GO:0005874","CC","GO:0005874","microtubule","30/1590","85/7428",0.00214668647308379,0.0251148646114753,0.020888256466984,"LOC18054237/LOC18055402/LOC18055733/LOC18053658/LOC18054356/LOC18054646/LOC18055925/LOC18052839/LOC18051759/LOC18051772/LOC18048307/LOC18048223/LOC18047083/LOC18044071/LOC18043855/LOC18041058/LOC18039021/LOC18038374/LOC18038373/LOC18038217/LOC18038180/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18035551/LOC18034779/LOC18035052/LOC18033085",30
"GO:0005840","CC","GO:0005840","ribosome","69/1590","235/7428",0.0022005537296158,0.0251148646114753,0.020888256466984,"LOC18053802/LOC18054533/LOC18055665/LOC18053894/LOC18054026/LOC18054582/LOC18051074/LOC18050922/LOC18053436/LOC18053183/LOC18047800/LOC18046830/LOC18048135/LOC18046028/LOC18050226/LOC18047401/LOC18048781/LOC18046336/LOC18046873/LOC18045886/LOC18049110/LOC18049244/LOC18043554/LOC18044471/LOC18045517/LOC18044841/LOC18044969/LOC18043343/LOC18043581/LOC18043358/LOC18043510/LOC18043271/LOC18042373/LOC18042222/LOC18040468/LOC18043047/LOC18041187/LOC18042031/LOC18040159/LOC18040450/LOC18042502/LOC18039869/LOC18038283/LOC18038562/LOC18039569/LOC18038982/LOC18038651/LOC18038486/LOC18039792/LOC18038243/LOC18039180/LOC18039871/LOC18036445/LOC18037551/LOC18037391/LOC18036576/LOC18035602/LOC18035490/LOC18034960/LOC18033656/LOC18033728/LOC18033801/LOC18033832/LOC18031846/LOC18033355/LOC18031743/LOC18033570/LOC18033557/LOC18032530",69
"GO:0099081","CC","GO:0099081","supramolecular polymer","30/1590","86/7428",0.00263551048392024,0.0251148646114753,0.020888256466984,"LOC18054237/LOC18055402/LOC18055733/LOC18053658/LOC18054356/LOC18054646/LOC18055925/LOC18052839/LOC18051759/LOC18051772/LOC18048307/LOC18048223/LOC18047083/LOC18044071/LOC18043855/LOC18041058/LOC18039021/LOC18038374/LOC18038373/LOC18038217/LOC18038180/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18035551/LOC18034779/LOC18035052/LOC18033085",30
"GO:0099512","CC","GO:0099512","supramolecular fiber","30/1590","86/7428",0.00263551048392024,0.0251148646114753,0.020888256466984,"LOC18054237/LOC18055402/LOC18055733/LOC18053658/LOC18054356/LOC18054646/LOC18055925/LOC18052839/LOC18051759/LOC18051772/LOC18048307/LOC18048223/LOC18047083/LOC18044071/LOC18043855/LOC18041058/LOC18039021/LOC18038374/LOC18038373/LOC18038217/LOC18038180/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18035551/LOC18034779/LOC18035052/LOC18033085",30
"GO:0099513","CC","GO:0099513","polymeric cytoskeletal fiber","30/1590","86/7428",0.00263551048392024,0.0251148646114753,0.020888256466984,"LOC18054237/LOC18055402/LOC18055733/LOC18053658/LOC18054356/LOC18054646/LOC18055925/LOC18052839/LOC18051759/LOC18051772/LOC18048307/LOC18048223/LOC18047083/LOC18044071/LOC18043855/LOC18041058/LOC18039021/LOC18038374/LOC18038373/LOC18038217/LOC18038180/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18035551/LOC18034779/LOC18035052/LOC18033085",30
