ID,Symbol,log2FoldChange,padj
112095851,LOC112095851,-1.03083160869427,8.1923071357929e-06
18056011,LOC18056011,3.62379615969143,0.000543831605019325
18056013,LOC18056013,-1.39423619160764,0.00279395221385308
18053938,LOC18053938,-1.052975661968,3.19841798567025e-06
18053943,LOC18053943,1.88491829489332,8.46487120742961e-09
18054102,LOC18054102,-5.8858071403777,0.0114094561898223
18054105,LOC18054105,2.19212016005511,1.71071175980869e-09
18054107,LOC18054107,-1.59861904548563,3.357514870474e-05
18054113,LOC18054113,-1.84069802266728,0.00518480557871838
18054115,LOC18054115,1.3435191859567,0.0191490098783694
18053948,LOC18053948,-1.07821784736205,0.00938570139888067
18053952,LOC18053952,-2.44177793839624,1.88584934548538e-05
18054227,LOC18054227,1.64036001675865,1.8989877545671e-06
112095827,LOC112095827,3.82962674720558,0.000271229773407507
112095835,LOC112095835,6.60659405841534,0.000243063715552258
18054278,LOC18054278,-4.16365219183757,8.08891318090131e-12
112096004,LOC112096004,5.42182784417129,0.0198286400117334
18053736,LOC18053736,-1.12179319954835,0.000179763620454106
18053739,LOC18053739,-6.30598056467124,1.46861922380623e-06
18053740,LOC18053740,-2.98541055986298,0.01115691415031
18053793,LOC18053793,-4.33780288399912,8.28873088083892e-12
18053806,LOC18053806,-1.52798435767132,0.00164038059821821
18053981,LOC18053981,-2.05076765601693,2.17742408874039e-05
18053982,LOC18053982,-1.36018699603623,3.30215013701429e-36
18053985,LOC18053985,1.90173853266694,1.27450253646882e-18
18053990,LOC18053990,-1.13780968527772,0.000578586749753689
18054471,LOC18054471,1.78982580367888,8.96395786934043e-11
18054201,LOC18054201,2.00578171508848,1.25428121736111e-15
18054667,LOC18054667,-2.1411008184977,0.000360933466346294
18054668,LOC18054668,1.4683430077515,8.84551174694501e-20
18054673,LOC18054673,1.9587729730918,5.43724464743855e-34
18054676,LOC18054676,2.14274393256128,2.76944456070949e-06
112095804,LOC112095804,-1.35324743633309,1.90366065520587e-05
18054777,LOC18054777,4.65330580524097,0.00107819612966248
18054779,LOC18054779,1.56876026978606,1.06192128416383e-11
18054780,LOC18054780,1.37983323033286,8.55396600304682e-06
18054927,LOC18054927,-2.29144347527675,2.25835182712522e-08
18054928,LOC18054928,-5.31996821591516,1.27241736522183e-25
18054790,LOC18054790,1.24025042388585,3.04159813935449e-05
18054795,LOC18054795,6.30575071823076,0.000725637840421154
18054940,LOC18054940,1.13285750460818,2.89809786492894e-16
18054041,LOC18054041,4.69267755715841,4.87358197015681e-21
18054044,LOC18054044,2.62563204431552,0.0186593072821892
18054046,LOC18054046,2.54709976261238,1.41154192428606e-05
18054047,LOC18054047,2.90658636751194,5.27723750613114e-10
18054050,LOC18054050,2.38826652925823,3.8067340257123e-11
18054054,LOC18054054,3.10677213595098,1.01551241191668e-17
18055287,LOC18055287,-3.50617240857236,0.000581678558640856
18055294,LOC18055294,-2.21315470481003,5.68085896786391e-05
18055293,LOC18055293,-1.04471061785333,8.35729101028384e-06
