"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019684","BP","GO:0019684","photosynthesis, light reaction","23/1598","43/5590",0.000497161622108876,0.0301714959417324,0.0289792892887148,"LOC18053944/LOC18054549/LOC18054593/LOC18055368/LOC18052032/LOC18052694/LOC18053261/LOC18053263/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18044863/LOC18043590/LOC18041475/LOC18040566/LOC18041202/LOC18038877/LOC18036420/LOC18035158/LOC18035077/LOC18032543/LOC18032961",23
"GO:0071365","BP","GO:0071365","cellular response to auxin stimulus","28/1598","56/5590",0.000545706058771564,0.0311694460627758,0.0299378060725453,"LOC18055059/LOC18055782/LOC18055320/LOC18055510/LOC18050781/LOC18051419/LOC18052602/LOC18052304/LOC18046344/LOC18046345/LOC18047540/LOC18043475/LOC18044262/LOC18044718/LOC18045400/LOC18040807/LOC18040808/LOC18041291/LOC18041942/LOC18039286/LOC18036626/LOC18035868/LOC18036454/LOC18036413/LOC18035603/LOC18035349/LOC18032443/LOC18031625",28
"GO:0007389","BP","GO:0007389","pattern specification process","13/1598","20/5590",0.000756517871447395,0.0386620449039695,0.0371343398394677,"LOC18053068/LOC18050605/LOC18050634/LOC18047120/LOC18049019/LOC18047025/LOC18044718/LOC18041509/LOC18037990/LOC18037577/LOC18036028/LOC18035603/LOC18031917",13
"GO:0046351","BP","GO:0046351","disaccharide biosynthetic process","13/1598","20/5590",0.000756517871447395,0.0386620449039695,0.0371343398394677,"LOC18054473/LOC18055832/LOC18054628/LOC18053226/LOC18053090/LOC18047722/LOC18049897/LOC18041977/LOC18042510/LOC18036681/LOC18032032/LOC18031286/LOC18033220",13
"GO:0006040","BP","GO:0006040","amino sugar metabolic process","12/1598","18/5590",0.000873652573291014,0.0424158324332787,0.0407397989439915,"LOC18051405/LOC18047842/LOC18047847/LOC18046073/LOC18049816/LOC18040339/LOC18037118/LOC18034655/LOC18034517/LOC18033974/LOC18031389/LOC18047848",12
"GO:0009734","BP","GO:0009734","auxin-activated signaling pathway","27/1598","55/5590",0.000980654490000455,0.0436350640753249,0.0419108534562717,"LOC18055059/LOC18055782/LOC18055320/LOC18055510/LOC18050781/LOC18052602/LOC18052304/LOC18046344/LOC18046345/LOC18047540/LOC18043475/LOC18044262/LOC18044718/LOC18045400/LOC18040807/LOC18040808/LOC18041291/LOC18041942/LOC18039286/LOC18036626/LOC18035868/LOC18036454/LOC18036413/LOC18035603/LOC18035349/LOC18032443/LOC18031625",27
"GO:0003002","BP","GO:0003002","regionalization","11/1598","16/5590",0.000988642028483159,0.0436350640753249,0.0419108534562717,"LOC18053068/LOC18050605/LOC18050634/LOC18047120/LOC18047025/LOC18044718/LOC18041509/LOC18037990/LOC18037577/LOC18036028/LOC18031917",11
"GO:0005576","CC","GO:0005576","extracellular region","146/2175","349/7428",2.05991223442801e-07,2.08359054991452e-05,1.93449861819385e-05,"LOC18054421/LOC18054420/LOC18054092/LOC18055588/LOC18054156/LOC18054144/LOC18054151/LOC18054158/LOC18054167/LOC18053818/LOC18051305/LOC18052125/LOC18052127/LOC18050546/LOC18050900/LOC18050450/LOC18051667/LOC18052860/LOC18052688/LOC18051434/LOC18051741/LOC18051742/LOC18051422/LOC18051423/LOC18051429/LOC18051430/LOC18051421/LOC18051426/LOC18051427/LOC18051428/LOC18051432/LOC18051744/LOC18051747/LOC18052474/LOC18053322/LOC18050743/LOC18048123/LOC18049448/LOC18046741/LOC18049945/LOC18046543/LOC18046515/LOC18048076/LOC18049414/LOC18049415/LOC18046237/LOC18047440/LOC18050078/LOC18046953/LOC18046959/LOC18044285/LOC18044426/LOC18043303/LOC18044336/LOC18044815/LOC18045134/LOC18043997/LOC18044915/LOC18044918/LOC18043426/LOC18042366/LOC18042376/LOC18042393/LOC18042395/LOC18041552/LOC18041971/LOC18041989/LOC18041518/LOC18040742/LOC18040741/LOC18041313/LOC18040420/LOC18040205/LOC18042334/LOC18041502/LOC18042504/LOC18040460/LOC18042520/LOC18042554/LOC18040582/LOC18042440/LOC18040789/LOC18038946/LOC18039489/LOC18039490/LOC18037896/LOC18038435/LOC18039806/LOC18038673/LOC18038860/LOC18038199/LOC18039379/LOC18036428/LOC18037787/LOC18037393/LOC18037541/LOC18036807/LOC18036678/LOC18037502/LOC18037019/LOC18037733/LOC18036699/LOC18037093/LOC18036303/LOC18036066/LOC18037725/LOC18037571/LOC18034208/LOC18033740/LOC18033982/LOC18035319/LOC18034217/LOC18033848/LOC18035395/LOC18034941/LOC18035312/LOC18035112/LOC18035170/LOC18035249/LOC18034411/LOC18032964/LOC18032311/LOC18031716/LOC18032464/LOC18031740/LOC18051525/LOC18052997/LOC18051433/LOC18051739/LOC18050139/LOC18050140/LOC18050141/LOC18050142/LOC18050143/LOC18049470/LOC18049411/LOC18049412/LOC18049538/LOC18047051/LOC18048043/LOC18041898/LOC18038093/LOC18035584/LOC18032359/LOC18033404/LOC18032872",146
"GO:0009523","CC","GO:0009523","photosystem II","27/2175","39/7428",2.71557140375303e-07,2.08359054991452e-05,1.93449861819385e-05,"LOC18053775/LOC18054549/LOC18054593/LOC18055368/LOC18052032/LOC18051773/LOC18053261/LOC18053263/LOC18048643/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18045520/LOC18044863/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18042579/LOC18040285/LOC18040979/LOC18041202/LOC18038877/LOC18036420/LOC18035158/LOC18034566",27
"GO:0009521","CC","GO:0009521","photosystem","32/2175","50/7428",3.51166946614808e-07,2.08359054991452e-05,1.93449861819385e-05,"LOC18053775/LOC18054549/LOC18054593/LOC18055495/LOC18055368/LOC18052032/LOC18051773/LOC18053261/LOC18053263/LOC18048643/LOC18045785/LOC18046168/LOC18048155/LOC18044075/LOC18045520/LOC18044863/LOC18043590/LOC18044560/LOC18045619/LOC18041475/LOC18042579/LOC18041631/LOC18040285/LOC18040979/LOC18041202/LOC18038877/LOC18036420/LOC18037749/LOC18034139/LOC18035158/LOC18034566/LOC18035077",32
