"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"cic00500","cic00500","Starch and sucrose metabolism","68/1216","145/4414",3.40909739839513e-07,3.9886439561223e-05,3.26555645530481e-05,"18054473/18054861/18055984/18056131/18054218/18054575/18054645/18055908/18055832/18055871/18055521/18054628/18051190/18050513/18051626/18052672/18050607/18052397/18053226/18053090/18053260/18047949/18048123/18047722/18049897/18047684/18049137/18048324/18050221/18049441/18046804/18046805/18047440/18048820/18048822/18046725/18044238/18045113/18044657/18043266/18044658/18043267/18041977/18042281/18042510/18042441/18042626/18040076/18039401/18039794/18037744/18037745/18036645/18035909/18036681/18033822/18035119/18035044/18035112/18034209/18032959/18031960/18032032/18031286/18032035/18051081/18035584/18033220",68
"cic00196","cic00196","Photosynthesis - antenna proteins","14/1216","17/4414",3.86710600405352e-06,0.000226225701237131,0.000185214024404668,"18054549/18055368/18052032/18053261/18053263/18045785/18048155/18044075/18044863/18043590/18041475/18041202/18038877/18035158",14
"cic00940","cic00940","Phenylpropanoid biosynthesis","79/1216","188/4414",8.85136802130372e-06,0.000345203352830845,0.000282622628048645,"18055849/18055851/18056131/18054218/18054575/18055509/18054131/18051456/18052498/18052501/18052503/18050450/18050919/18052397/18050743/18046501/18046504/18046505/18049500/18048076/18050152/18050154/18050157/18046298/18047440/18043961/18045039/18045038/18043947/18043571/18044238/18044918/18044657/18043266/18044658/18043267/18040739/18042327/18042352/18042520/18040966/18041836/18038827/18038426/18039411/18038860/18036838/18037787/18037076/18037541/18036870/18036678/18036699/18037507/18037805/18037660/18037667/18037750/18035687/18033822/18035159/18035209/18035112/18034975/18033836/18034906/18033532/18033218/18032464/18031740/18052462/18052997/18050006/18042182/18037907/18037921/18035584/18032359/18032872",79
"cic00592","cic00592","alpha-Linolenic acid metabolism","24/1216","43/4414",8.19217091380116e-05,0.00239620999228684,0.00196180935041028,"18056133/18053046/18053048/18053050/18052054/18050569/18050570/18051020/18046741/18046424/18046423/18046425/18044018/18043839/18040363/18043081/18038331/18036426/18036670/18032845/18032615/18031375/18042021/18038330",24
"cic00071","cic00071","Fatty acid degradation","23/1216","45/4414",0.000642410974289714,0.0150324167983793,0.0123072418232345,"18054508/18051169/18045992/18046088/18047180/18048547/18050134/18045285/18043410/18043998/18041239/18042803/18040240/18038331/18037287/18036670/18035469/18032954/18032845/18032615/18051824/18042021/18038330",23
