ko00010,K00002
ko00010,K00016
ko00010,K00121
ko00010,K00128
ko00010,K00129
ko00010,K00134
ko00010,K00149
ko00010,K00161
ko00010,K00162
ko00010,K00382
ko00010,K00627
ko00010,K00844
ko00010,K00850
ko00010,K00873
ko00010,K00927
ko00010,K01084
ko00010,K01596
ko00010,K01623
ko00010,K01689
ko00010,K01785
ko00010,K01803
ko00010,K01810
ko00010,K01834
ko00010,K01835
ko00010,K01837
ko00010,K01895
ko00010,K03103
ko00010,K03841
ko00010,K08074
ko00010,K10705
ko00010,K12407
ko00010,K14085
ko00010,K15779
ko00020,K00025
ko00020,K00026
ko00020,K00030
ko00020,K00031
ko00020,K00161
ko00020,K00162
ko00020,K00164
ko00020,K00234
ko00020,K00235
ko00020,K00236
ko00020,K00237
ko00020,K00382
ko00020,K00627
ko00020,K00658
ko00020,K01596
ko00020,K01647
ko00020,K01648
ko00020,K01679
ko00020,K01681
ko00020,K01899
ko00020,K01900
ko00020,K01958
ko00030,K00033
ko00030,K00036
ko00030,K00615
ko00030,K00616
ko00030,K00850
ko00030,K00851
ko00030,K00852
ko00030,K00948
ko00030,K01053
ko00030,K01057
ko00030,K01619
ko00030,K01623
ko00030,K01783
ko00030,K01807
ko00030,K01810
ko00030,K01835
ko00030,K03841
ko00030,K11529
ko00030,K13937
ko00030,K15779
ko00040,K00002
ko00040,K00008
ko00040,K00011
ko00040,K00012
ko00040,K00078
ko00040,K00699
ko00040,K00854
ko00040,K00963
ko00040,K01195
ko00040,K01783
ko00040,K01805
ko00040,K03331
ko00040,K13247
ko00040,K14756
ko00040,K21031
ko00051,K00008
ko00051,K00011
ko00051,K00844
ko00051,K00846
ko00051,K00850
ko00051,K00863
ko00051,K00966
ko00051,K00976
ko00051,K01103
ko00051,K01623
ko00051,K01711
ko00051,K01803
ko00051,K01805
ko00051,K01809
ko00051,K02377
ko00051,K03841
ko00051,K05305
ko00051,K14634
ko00051,K17497
ko00051,K18334
ko00051,K19028
ko00051,K19029
ko00051,K19030
ko00052,K00011
ko00052,K00844
ko00052,K00849
ko00052,K00850
ko00052,K00963
ko00052,K00965
ko00052,K01084
ko00052,K01189
ko00052,K01229
ko00052,K01784
ko00052,K01785
ko00052,K01835
ko00052,K07966
ko00052,K07967
ko00052,K12047
ko00052,K12309
ko00052,K12316
ko00052,K12317
ko00052,K12407
ko00052,K15779
ko00053,K00012
ko00053,K00128
ko00053,K00149
ko00053,K00469
ko00053,K00699
ko00053,K01053
ko00053,K14085
ko00061,K00645
ko00061,K00665
ko00061,K01071
ko00061,K01897
ko00061,K01946
ko00061,K09458
ko00061,K11262
ko00061,K15013
ko00062,K00022
ko00062,K00659
ko00062,K01068
ko00062,K01074
ko00062,K07508
ko00062,K07509
ko00062,K07511
ko00062,K07512
ko00062,K07515
ko00062,K10203
ko00062,K10244
ko00062,K10247
ko00062,K10249
ko00062,K10250
ko00062,K10251
ko00062,K10258
ko00062,K10703
ko00062,K17360
ko00071,K00022
ko00071,K00121
ko00071,K00128
ko00071,K00149
ko00071,K00232
