"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099513","CC","GO:0099513","polymeric cytoskeletal fiber","26/1326","86/7428",0.00335554283955304,0.0285221141362008,0.0239401302003199,"LOC18054670/LOC18055402/LOC18054356/LOC18055925/LOC18052839/LOC18051772/LOC18049922/LOC18048307/LOC18048223/LOC18046892/LOC18043855/LOC18043715/LOC18041808/LOC18040936/LOC18041058/LOC18038374/LOC18038217/LOC18039137/LOC18035782/LOC18037885/LOC18037153/LOC18036848/LOC18037824/LOC18035551/LOC18035052/LOC18031417",26
"GO:0031984","CC","GO:0031984","organelle subcompartment","41/1326","155/7428",0.0045787143420744,0.0368706997019675,0.0309475429215001,"LOC18055287/LOC18054549/LOC18055495/LOC18055368/LOC18052506/LOC18050563/LOC18052032/LOC18052197/LOC18053489/LOC18051323/LOC18052598/LOC18051870/LOC18053261/LOC18053263/LOC18046386/LOC18050194/LOC18045777/LOC18045785/LOC18048155/LOC18046011/LOC18045866/LOC18046879/LOC18046891/LOC18044863/LOC18043458/LOC18044847/LOC18043581/LOC18044021/LOC18043590/LOC18041475/LOC18040603/LOC18042830/LOC18041202/LOC18043060/LOC18038877/LOC18038768/LOC18039622/LOC18037579/LOC18037749/LOC18036749/LOC18035158",41
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","101/1706","303/9150",4.04050003565358e-10,1.50306601326313e-07,1.30997264313821e-07,"LOC18054232/LOC18054865/LOC18054829/LOC18054424/LOC18056142/LOC18054549/LOC18055368/LOC18054620/LOC18050435/LOC18052498/LOC18052500/LOC18052501/LOC18053375/LOC18052870/LOC18050450/LOC18052032/LOC18051625/LOC18052392/LOC18053261/LOC18053263/LOC18050743/LOC18050625/LOC18049214/LOC18047714/LOC18048580/LOC18045785/LOC18046846/LOC18048154/LOC18048155/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044863/LOC18044393/LOC18044579/LOC18043565/LOC18043590/LOC18045694/LOC18045695/LOC18041681/LOC18043188/LOC18041475/LOC18040911/LOC18040739/LOC18042868/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18041202/LOC18040403/LOC18040761/LOC18039197/LOC18038877/LOC18039876/LOC18039758/LOC18038860/LOC18036838/LOC18035923/LOC18037868/LOC18037787/LOC18037541/LOC18035820/LOC18036678/LOC18036699/LOC18036045/LOC18036987/LOC18036416/LOC18036417/LOC18035701/LOC18036008/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036100/LOC18036901/LOC18033849/LOC18034294/LOC18034124/LOC18033714/LOC18035229/LOC18033809/LOC18033733/LOC18035157/LOC18035158/LOC18033718/LOC18034822/LOC18035645/LOC18033470/LOC18033227/LOC18031740/LOC18048798/LOC18044098/LOC18037886/LOC18032359",101
"GO:0016168","MF","GO:0016168","chlorophyll binding","13/1706","15/9150",2.28207945306748e-08,4.24466778270552e-06,3.69937090286729e-06,"LOC18054549/LOC18055368/LOC18052032/LOC18053261/LOC18053263/LOC18045785/LOC18048155/LOC18044863/LOC18043590/LOC18041475/LOC18041202/LOC18038877/LOC18035158",13
"GO:0020037","MF","GO:0020037","heme binding","88/1706","288/9150",4.93541239582525e-07,6.11991137082331e-05,5.33370883478658e-05,"LOC18054232/LOC18054865/LOC18054829/LOC18054424/LOC18056142/LOC18054620/LOC18050435/LOC18052498/LOC18052500/LOC18052501/LOC18053375/LOC18052870/LOC18050450/LOC18051625/LOC18052392/LOC18050743/LOC18050625/LOC18049214/LOC18047714/LOC18048580/LOC18046846/LOC18048154/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044579/LOC18043565/LOC18045694/LOC18045695/LOC18041681/LOC18043188/LOC18040911/LOC18040739/LOC18042868/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18040403/LOC18040761/LOC18039197/LOC18039876/LOC18039758/LOC18038860/LOC18036838/LOC18035923/LOC18037868/LOC18037787/LOC18037541/LOC18035820/LOC18036678/LOC18036699/LOC18036045/LOC18036987/LOC18036416/LOC18036417/LOC18035701/LOC18036008/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036100/LOC18036901/LOC18033849/LOC18034294/LOC18034124/LOC18033714/LOC18035229/LOC18033809/LOC18033733/LOC18035157/LOC18033718/LOC18034822/LOC18035645/LOC18033470/LOC18033227/LOC18031740/LOC18048798/LOC18044098/LOC18037886/LOC18032359",88
"GO:0005506","MF","GO:0005506","iron ion binding","80/1706","272/9150",8.23318065003514e-06,0.000765685800453268,0.000667320957950217,"LOC18054865/LOC18054829/LOC18056154/LOC18054424/LOC18056142/LOC18054620/LOC18055362/LOC18050435/LOC18053375/LOC18052870/LOC18051625/LOC18051752/LOC18051753/LOC18052392/LOC18052481/LOC18050625/LOC18049214/LOC18047714/LOC18048580/LOC18048154/LOC18046042/LOC18046843/LOC18049178/LOC18049179/LOC18049733/LOC18044751/LOC18044430/LOC18044431/LOC18044432/LOC18043757/LOC18044393/LOC18044579/LOC18045694/LOC18045695/LOC18041681/LOC18043188/LOC18040911/LOC18040739/LOC18042868/LOC18042779/LOC18043036/LOC18042343/LOC18042367/LOC18042726/LOC18040403/LOC18040761/LOC18040049/LOC18039876/LOC18039758/LOC18036838/LOC18035923/LOC18037868/LOC18035820/LOC18036991/LOC18036987/LOC18036416/LOC18036417/LOC18036008/LOC18035904/LOC18036030/LOC18037857/LOC18037858/LOC18036100/LOC18036901/LOC18035505/LOC18034294/LOC18035229/LOC18033809/LOC18033733/LOC18035157/LOC18033718/LOC18035645/LOC18034677/LOC18032152/LOC18032986/LOC18033470/LOC18033227/LOC18049734/LOC18044098/LOC18037886",80
"GO:0004553","MF","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","73/1706","244/9150",1.06153634411248e-05,0.000789783040019689,0.000688322513656095,"LOC18056170/LOC18054421/LOC18054420/LOC18055593/LOC18055908/LOC18054151/LOC18054152/LOC18054158/LOC18051551/LOC18053095/LOC18050938/LOC18050517/LOC18052866/LOC18052672/LOC18052685/LOC18050608/LOC18050365/LOC18049207/LOC18048123/LOC18048128/LOC18048144/LOC18047842/LOC18048005/LOC18046926/LOC18046909/LOC18047440/LOC18050078/LOC18049812/LOC18049816/LOC18046959/LOC18043349/LOC18044063/LOC18043997/LOC18045113/LOC18044659/LOC18043267/LOC18040493/LOC18042860/LOC18041989/LOC18040339/LOC18041518/LOC18042504/LOC18043125/LOC18041697/LOC18042626/LOC18038569/LOC18039515/LOC18040076/LOC18037118/LOC18036428/LOC18037502/LOC18037733/LOC18036645/LOC18036114/LOC18034655/LOC18034517/LOC18033974/LOC18035509/LOC18035312/LOC18035044/LOC18035112/LOC18034912/LOC18034104/LOC18035117/LOC18033676/LOC18031830/LOC18033565/LOC18032019/LOC18031667/LOC18031976/LOC18031437/LOC18031352/LOC18054345",73
"GO:0004857","MF","GO:0004857","enzyme inhibitor activity","44/1706","128/9150",1.54619046175244e-05,0.000861610323013411,0.000750922409417461,"LOC18055428/LOC18054080/LOC18054631/LOC18054743/LOC18055586/LOC18055588/LOC18055590/LOC18052687/LOC18052688/LOC18047695/LOC18049575/LOC18049576/LOC18049579/LOC18050005/LOC18049944/LOC18045881/LOC18050261/LOC18043519/LOC18043491/LOC18043537/LOC18041803/LOC18042404/LOC18040524/LOC18041628/LOC18039469/LOC18037980/LOC18039687/LOC18039631/LOC18036618/LOC18036598/LOC18037849/LOC18033657/LOC18031738/LOC18033387/LOC18033438/LOC18033287/LOC18033276/LOC18033281/LOC18032837/LOC18031626/LOC18033175/LOC18031909/LOC18033020/LOC18048043",44
"GO:0003700","MF","GO:0003700","DNA-binding transcription factor activity","98/1706","355/9150",1.62130974760588e-05,0.000861610323013411,0.000750922409417461,"LOC18053973/LOC18054113/LOC18053740/LOC18053998/LOC18054003/LOC18054021/LOC18054083/LOC18055376/LOC18055307/LOC18055633/LOC18052868/LOC18050561/LOC18051512/LOC18053485/LOC18051011/LOC18052434/LOC18051681/LOC18052470/LOC18053535/LOC18051602/LOC18053220/LOC18050472/LOC18050266/LOC18049853/LOC18046431/LOC18048118/LOC18046095/LOC18049967/LOC18049462/LOC18048665/LOC18046213/LOC18048974/LOC18047704/LOC18047542/LOC18048239/LOC18048655/LOC18049843/LOC18047940/LOC18047942/LOC18043604/LOC18044460/LOC18044550/LOC18044589/LOC18043697/LOC18045167/LOC18043905/LOC18043928/LOC18043901/LOC18043733/LOC18043974/LOC18040837/LOC18040589/LOC18042841/LOC18041554/LOC18042910/LOC18042623/LOC18041505/LOC18041603/LOC18042128/LOC18041159/LOC18041974/LOC18040416/LOC18038738/LOC18037972/LOC18038027/LOC18038707/LOC18039156/LOC18040087/LOC18039319/LOC18039756/LOC18039580/LOC18036727/LOC18036868/LOC18036531/LOC18036104/LOC18037831/LOC18037266/LOC18035784/LOC18037715/LOC18032092/LOC18031465/LOC18033064/LOC18031191/LOC18033550/LOC18032042/LOC18031384/LOC18031355/LOC18031356/LOC18033417/LOC18033409/LOC18031489/LOC18055444/LOC18052986/LOC18044088/LOC18036271/LOC18037074/LOC18035271/LOC18031430",98
"GO:0008194","MF","GO:0008194","UDP-glycosyltransferase activity","56/1706","184/9150",6.57751318580372e-05,0.00305854363139873,0.00266562376477309,"LOC18055776/LOC18054015/LOC18054166/LOC18052071/LOC18052197/LOC18052284/LOC18052285/LOC18052286/LOC18047949/LOC18046063/LOC18046064/LOC18049191/LOC18049190/LOC18049696/LOC18048055/LOC18048054/LOC18046308/LOC18050333/LOC18048822/LOC18049827/LOC18047317/LOC18045452/LOC18041695/LOC18042735/LOC18042737/LOC18041415/LOC18041528/LOC18040880/LOC18040881/LOC18042368/LOC18042773/LOC18038370/LOC18037956/LOC18038656/LOC18038430/LOC18038024/LOC18039745/LOC18039549/LOC18040089/LOC18037893/LOC18039314/LOC18037076/LOC18036876/LOC18036254/LOC18037288/LOC18037360/LOC18036087/LOC18035043/LOC18035454/LOC18035314/LOC18033895/LOC18031271/LOC18032618/LOC18032110/LOC18033042/LOC18055183",56
