ID,Symbol,log2FoldChange,padj
18053973,LOC18053973,1.25511927194002,1.04022013759541e-09
18053938,LOC18053938,-1.58919882274753,3.71825709515522e-25
18053940,LOC18053940,1.1281292835434,1.09440311787455e-21
18053871,LOC18053871,2.749083935592,0.0102837803498052
18053872,LOC18053872,3.41407576917003,1.66445114329414e-12
18053873,LOC18053873,2.56729239778353,1.23070787679953e-05
18054113,LOC18054113,1.36355668124119,1.38310267476764e-13
18053948,LOC18053948,-2.13691830560906,8.85293972776948e-34
18053952,LOC18053952,3.21729071608957,0.0106963262968423
18053955,LOC18053955,3.1026517634531,0.0362766951673147
18053962,LOC18053962,-1.86454756704914,0.00479924976189627
112095827,LOC112095827,-3.84862014856799,3.04427895032329e-47
18054229,LOC18054229,1.96317775810273,2.95980145477273e-33
18054232,LOC18054232,-5.71609278794794,1.12553561393424e-68
18054278,LOC18054278,-3.19824308638245,9.80258834831906e-25
18054283,LOC18054283,-1.81573979711588,6.99726535322515e-13
18053736,LOC18053736,1.40731750009909,1.00501482185039e-06
18053741,LOC18053741,-3.80438618738912,0.00438689855516988
18053740,LOC18053740,3.44406817364679,0.000237719967000247
18053749,LOC18053749,-1.9169275149037,7.03547151044084e-14
18053792,LOC18053792,1.86652072654374,0.0146984391252546
18053797,LOC18053797,2.48611539970249,3.19426603786077e-11
18053799,LOC18053799,2.84999648300779,2.64398956250441e-117
18053985,LOC18053985,-1.33214755086635,1.08902765641504e-29
18053991,LOC18053991,-4.14404065874994,2.31277144175542e-31
18054479,LOC18054479,-4.66218144385098,7.93878628417151e-11
18054200,LOC18054200,1.49085345252349,0.0130666726126632
18054667,LOC18054667,1.7697508021948,0.00089813829208746
18054670,LOC18054670,-1.1469546366852,7.27225482089611e-30
18054672,LOC18054672,1.03461232049873,1.22081290816115e-15
18054673,LOC18054673,1.07996010013601,1.19281141503303e-25
18054927,LOC18054927,-1.86724040688929,9.91728057612048e-24
18054928,LOC18054928,-3.28183758457329,3.59758549430383e-08
18054784,LOC18054784,-2.16954773241033,1.32625922158885e-06
18054795,LOC18054795,-2.65322859197462,6.99133705630273e-11
18054940,LOC18054940,1.34177068601303,2.54334595662679e-58
18054941,LOC18054941,-1.99924679948457,1.58064691344861e-57
18054947,LOC18054947,-1.33676799011643,0.0188151250007647
18054046,LOC18054046,-2.03821109275575,0.00035657305857476
18055287,LOC18055287,3.1943039986475,1.52922500446616e-11
18055294,LOC18055294,1.85857930300022,0.00101072312370433
18055298,LOC18055298,-1.16622732041297,1.49562621852824e-09
18055300,LOC18055300,-3.68440465115902,3.79066548039045e-10
18055075,LOC18055075,-1.06261975714425,0.000202389983701489
18055079,LOC18055079,1.01044842773465,3.66647095460781e-06
18054527,LOC18054527,-1.64349062223329,2.01892600790821e-27
18054532,LOC18054532,-1.16142230539999,0.00311473819339255
18054531,LOC18054531,1.54844920677207,4.32589388012344e-17
18055326,LOC18055326,-2.748884564688,5.09011898078491e-21
18055339,LOC18055339,-1.49170330698559,0.000115057023452007
18055019,LOC18055019,1.55012589723988,0.0054228150981531
18055017,LOC18055017,1.8996671625546,4.88815161716587e-50
18055022,LOC18055022,-2.15572537073091,4.23126104030702e-06
18055021,LOC18055021,1.54298391565272,1.14062778797325e-10
18055042,LOC18055042,-1.25637237854461,2.18381075817706e-21
18055045,LOC18055045,-1.0842608294516,0.000854237132983659
18055050,LOC18055050,3.72073585359106,2.69524824075841e-06
18055054,LOC18055054,-1.31372596774591,1.69812207241611e-15
18055061,LOC18055061,-3.23302024986828,7.19833183079081e-09
18055035,LOC18055035,-1.26586638329393,0.019341010308277
112095855,LOC112095855,1.256468048103,2.88589159209949e-34
18055025,LOC18055025,1.03800216722602,1.65104532608448e-11
112101573,LOC112101573,-1.74604850856627,1.07298787579112e-15
18055028,LOC18055028,-1.97284017824227,4.91623213586996e-22
18055104,LOC18055104,1.57126773451727,1.43506998183613e-20
18054382,LOC18054382,1.25097783031985,6.37830966965398e-12
18054391,LOC18054391,1.55863994446734,8.07785425267375e-14
18054397,LOC18054397,-2.33176004452908,5.84010141208264e-09
18054863,LOC18054863,-1.27203725289368,0.0384095107696811
18054865,LOC18054865,3.36857827655632,5.67571000067424e-127
18054866,LOC18054866,-1.35797546797008,5.90916641394953e-05
18054867,LOC18054867,1.04347734067054,2.92992324636821e-07
18054868,LOC18054868,1.07798757798879,4.31146313238396e-13
18054871,LOC18054871,2.02689729931059,1.04119551181086e-17
18055386,LOC18055386,-1.11064847018419,0.00189756440235824
18055388,LOC18055388,1.01604441333189,0.0134911757404768
18055392,LOC18055392,1.08438137904395,0.00109707965250313
